id;title;content
1;Maman championne;Stopper sa carrière de joueuse pour avoir un enfant puis remporter de nouveau un tournoi. L’exploit est rarissime et devient inimaginable s’il s’agit d’un titre du Grand Chelem. La première « championne maman » de l’histoire du tennis s’appelle Dorothea Douglas, 7 fois championnes de Wimbledon dont le dernier en 1914 en tant que mère.
2;La carrière la plus courte; La carrière sportive de l'Anglais Frank Hadow est sans aucun doute la plus courte de l'histoire du tennis. En 1878, il profite des ces vacances pour s'inscrire au tournoi de Wimbledon.A chaque montée au filet de son adversaire, il élève la balle en l'air afin de le lober. Victoire pour Hadow :7/5 6/1 9/7.
3;La marque LACOSTE;Pour ceux qui avaient encore un doute, la célèbre marque LACOSTE a belle et bien été inventé par l'ancien champion de tennis, Réné Lacoste. C'est en 1933 que le français (7 titres du Grand Chelem), avec l'aide d'André Gillier, fonda la société afin d'exploiter la chemise brodée d'un petit crocodile vert que le champion portait sur les courts de tennis.
4;La mode du short;L'Anglais Bunny Austin est le premier joueur à porter un short lors des Internationaux de Forrest Hill (futur Us Open) en 1933. Cette nouvelle tenue vestimentaire sera adoptée par l'ensemble des joueurs à la fin de seconde Guerre Mondiale, après plus de 60 ans de règne du pantalon !
5;Une histoire de famille;La première finale féminine en simple dans un tournoi du Grand Chelem, entre deux sœurs, s'est jouée à Wimbledon en 1884. Maud Watson affronta sa sœur Lilian.Il faut ensuite attendre 115 ans pour revivre un tel évènement avec les sœurs Williams. Les deux américaines, Vénus et Serena, se sont rencontrées à 6 reprises lors des finales.
6;Une finale de Roland Garros en 34 minutes;C'est évidemment la finale la plus courte de l'histoire du tournoi de Roland Garros. En 1988, La joueuse allemande Steffi Graf réalise la meilleure saison de sa carrière. La finale dure 34 minutes et se termine sur le score de 6/0 6/0!Plus tard,Steffi Graf regretta de ne pas lui avoir laissé au moins un jeu.
7;Le match le plus long;Le match le plus long est de 11h05 : au 1er tour du simple homme de Wimbledon 2010. L'américain John Isner bat le français Nicolas Mahut  sur le score de 6/4 3/6 7/6 7/6 70/68, soit 183 jeux. A noter que le 5e set aura duré...8h11 !!
8;;A 17 ans, Roger Federer affirmait: «J’ai un gros nez, mais quand je serai No 1 mondial, les gens ne le verront plus.»
9;;Il ne supporte pas qu’on l’appelle «Roger» à la française et souhaite qu’on prononce «Rodgeur».
10;;C’est en 2004, après sa victoire à l’Open d’Australie, que Roger Federer est devenu No 1 mondial pour la première fois.
12;;Rafael Nadal a construit son jeu de champion sur son île, en famille, loin des structures fédérales. Deux grand tennismen ont quand même beaucoup compté pour lui : Pat Cash et Carlos Moya
13;;Novak djokovic mange toujours un peu d’herbe après chaque victoire à Wimbledon et il déclare que c’est plutôt bon.
14;;Djoko mange toujours furtivement un peu de banane pendant les changements de côté.
15;;Avec presque 90 millions de dollars engrangés en carrière, elle est la tenniswoman ayant remporté le plus d’argent sur les courts. Et encore, cela ne comprend pas les contrats prestigieux qu’elle a signé avec Nike et Wilson, entre autre.
16;;Ca ne m’a jamais dérangé de faire l’amour juste avant de faire du sport. <<Benoit Paire>>
17;;Le survivant du Titanic
18;plus grand nombre d'ace;Le joueur ayant le plus grand nombre d'ace est Ivo Karlovic avec un total de 13586
19;plus grand nombre d'ace;Le joueur ayant le plus grand nombre d'ace est Ivo Karlovic avec un total de 13586
20;plus grand nombre de service gagnant;Le joueur ayant le plus grand nombre de service gagnant est Roger Federer avec un total de 111987
21;plus grand nombre d'ace;Le joueur ayant le plus grand nombre d'ace est Ivo Karlovic avec un total de 13586
22;plus grand nombre de service gagnant;Le joueur ayant le plus grand nombre de service gagnant est Roger Federer avec un total de 111987
23;plus grand nombre de double faute;Le joueur ayant le plus grand nombre de double_faute est Fernando Verdasco avec un total de 3759
24;pourcentage de reussite le plus élevé au premier service;Le joueur ayant le pourcentage de reussite le plus élevé au premier service est Libor Nemecek avec un total de 83.3
25;pourcentage de reussite le plus élevé au deuxième service;Le joueur ayant le pourcentage de reussite le plus élevé au deuxième service est Libor Nemecek avec un total de 83.3
26;pourcentage d'ace/service le plus élevé;Le joueur ayant le pourcentage d'ace/service est Fritz Wolmarans avec un total de 23.8
27;pourcentage double_faute/service le plus élevé;Le joueur ayant le pourcentage de double_faute/service est Fritz Wolmarans avec un total de 23.8
